18:07:59 | 200 |     76.4665ms | 127.0.0.1 | GET | /swagger/favicon-32x32.png | -
18:08:01 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:08:01 | 200 |      6.4174ms | 127.0.0.1 | POST | /api/user/login | -
18:08:29 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/me | -
18:08:29 | 200 |      6.5984ms | 127.0.0.1 | GET | /api/user/me | -
18:10:30 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:32 | 404 |            0s | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
18:10:34 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:37 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:40 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:43 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:46 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:49 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:51 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:54 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:10:55 | 200 |     80.8669ms | 127.0.0.1 | GET | /swagger/favicon-32x32.png | -
18:10:59 | 200 |            0s | 127.0.0.1 | GET | /swagger/index.html | -
18:10:59 | 200 |            0s | 127.0.0.1 | GET | /swagger/swagger-ui.css | -
18:10:59 | 200 |      1.9789ms | 127.0.0.1 | GET | /swagger/swagger-ui-standalone-preset.js | -
18:10:59 | 200 |      4.0627ms | 127.0.0.1 | GET | /swagger/swagger-ui-bundle.js | -
18:10:59 | 200 |         504µs | 127.0.0.1 | GET | /swagger/doc.json | -
18:11:01 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:04 | 304 |            0s | 127.0.0.1 | GET | /swagger/favicon-32x32.png | -
18:11:05 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:09 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:12 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:15 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:18 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:20 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:26 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:29 | 200 |      1.7368ms | 127.0.0.1 | GET | /metrics | -
18:11:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:34 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:35 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:11:35 | 200 |      6.9072ms | 127.0.0.1 | POST | /api/user/login | -
18:11:36 | 200 |      1.9451ms | 127.0.0.1 | POST | /api/user/login | -
18:11:36 | 200 |      1.3514ms | 127.0.0.1 | POST | /api/user/login | -
18:11:37 | 200 |      1.1656ms | 127.0.0.1 | POST | /api/user/login | -
18:11:37 | 200 |      2.6173ms | 127.0.0.1 | POST | /api/user/login | -
18:11:37 | 200 |      2.0192ms | 127.0.0.1 | POST | /api/user/login | -
18:11:37 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:37 | 200 |       1.897ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      1.4866ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      1.8805ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      2.5206ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      3.2968ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      1.6045ms | 127.0.0.1 | POST | /api/user/login | -
18:11:38 | 200 |      1.9881ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      2.8286ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      2.9954ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      2.1645ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      1.8684ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      1.4719ms | 127.0.0.1 | POST | /api/user/login | -
18:11:39 | 200 |      2.8476ms | 127.0.0.1 | POST | /api/user/login | -
18:11:40 | 200 |      1.6395ms | 127.0.0.1 | POST | /api/user/login | -
18:11:40 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:11:40 | 200 |      1.2184ms | 127.0.0.1 | POST | /api/user/login | -
18:11:40 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:40 | 200 |      1.6293ms | 127.0.0.1 | POST | /api/user/login | -
18:11:40 | 200 |      1.9112ms | 127.0.0.1 | POST | /api/user/login | -
18:11:41 | 200 |      1.6944ms | 127.0.0.1 | POST | /api/user/login | -
18:11:41 | 200 |      1.9757ms | 127.0.0.1 | POST | /api/user/login | -
18:11:41 | 200 |       1.928ms | 127.0.0.1 | POST | /api/user/login | -
18:11:41 | 200 |      3.1933ms | 127.0.0.1 | POST | /api/user/login | -
18:11:41 | 200 |      1.4764ms | 127.0.0.1 | POST | /api/user/login | -
18:11:42 | 200 |      1.9295ms | 127.0.0.1 | POST | /api/user/login | -
18:11:42 | 200 |      2.4386ms | 127.0.0.1 | POST | /api/user/login | -
18:11:42 | 200 |      2.8849ms | 127.0.0.1 | POST | /api/user/login | -
18:11:42 | 200 |      2.2208ms | 127.0.0.1 | POST | /api/user/login | -
18:11:42 | 200 |      1.6687ms | 127.0.0.1 | POST | /api/user/login | -
18:11:43 | 200 |      1.9524ms | 127.0.0.1 | POST | /api/user/login | -
18:11:43 | 200 |      2.4142ms | 127.0.0.1 | POST | /api/user/login | -
18:11:43 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:43 | 200 |      2.1756ms | 127.0.0.1 | POST | /api/user/login | -
18:11:43 | 200 |      1.2581ms | 127.0.0.1 | POST | /api/user/login | -
18:11:44 | 200 |      2.4712ms | 127.0.0.1 | POST | /api/user/login | -
18:11:44 | 200 |      1.7343ms | 127.0.0.1 | POST | /api/user/login | -
18:11:44 | 200 |      2.1743ms | 127.0.0.1 | POST | /api/user/login | -
18:11:44 | 200 |      1.5203ms | 127.0.0.1 | POST | /api/user/login | -
18:11:44 | 200 |      1.9767ms | 127.0.0.1 | POST | /api/user/login | -
18:11:45 | 200 |      1.1572ms | 127.0.0.1 | POST | /api/user/login | -
18:11:45 | 200 |      3.0351ms | 127.0.0.1 | POST | /api/user/login | -
18:11:45 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:11:45 | 200 |      1.7123ms | 127.0.0.1 | POST | /api/user/login | -
18:11:45 | 200 |      1.5566ms | 127.0.0.1 | POST | /api/user/login | -
18:11:45 | 200 |      1.9371ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |      3.5136ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:46 | 200 |      1.0389ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |      2.1828ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |      1.8713ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |      1.1969ms | 127.0.0.1 | POST | /api/user/login | -
18:11:46 | 200 |      2.6766ms | 127.0.0.1 | POST | /api/user/login | -
18:11:47 | 200 |      1.6729ms | 127.0.0.1 | POST | /api/user/login | -
18:11:47 | 200 |      1.3152ms | 127.0.0.1 | POST | /api/user/login | -
18:11:47 | 200 |      2.0935ms | 127.0.0.1 | POST | /api/user/login | -
18:11:47 | 200 |      2.1526ms | 127.0.0.1 | POST | /api/user/login | -
18:11:47 | 200 |      6.2332ms | 127.0.0.1 | POST | /api/user/login | -
18:11:48 | 200 |      1.8012ms | 127.0.0.1 | POST | /api/user/login | -
18:11:48 | 200 |      1.9556ms | 127.0.0.1 | POST | /api/user/login | -
18:11:48 | 200 |      1.9716ms | 127.0.0.1 | POST | /api/user/login | -
18:11:48 | 200 |      1.3292ms | 127.0.0.1 | POST | /api/user/login | -
18:11:49 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:49 | 200 |      1.3518ms | 127.0.0.1 | POST | /api/user/login | -
18:11:49 | 200 |      1.7746ms | 127.0.0.1 | POST | /api/user/login | -
18:11:49 | 200 |       1.774ms | 127.0.0.1 | POST | /api/user/login | -
18:11:49 | 200 |      2.9502ms | 127.0.0.1 | POST | /api/user/login | -
18:11:50 | 200 |      1.6417ms | 127.0.0.1 | POST | /api/user/login | -
18:11:50 | 200 |      1.7514ms | 127.0.0.1 | POST | /api/user/login | -
18:11:50 | 200 |      1.3324ms | 127.0.0.1 | POST | /api/user/login | -
18:11:50 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:11:50 | 200 |      1.7801ms | 127.0.0.1 | POST | /api/user/login | -
18:11:50 | 200 |       2.178ms | 127.0.0.1 | POST | /api/user/login | -
18:11:51 | 200 |      1.7885ms | 127.0.0.1 | POST | /api/user/login | -
18:11:51 | 200 |      1.8449ms | 127.0.0.1 | POST | /api/user/login | -
18:11:51 | 200 |       1.286ms | 127.0.0.1 | POST | /api/user/login | -
18:11:51 | 200 |      1.5718ms | 127.0.0.1 | POST | /api/user/login | -
18:11:51 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:51 | 200 |      3.1594ms | 127.0.0.1 | POST | /api/user/login | -
18:11:52 | 200 |      4.8938ms | 127.0.0.1 | POST | /api/user/login | -
18:11:52 | 200 |      1.4132ms | 127.0.0.1 | POST | /api/user/login | -
18:11:52 | 200 |      1.3426ms | 127.0.0.1 | POST | /api/user/login | -
18:11:52 | 200 |       2.271ms | 127.0.0.1 | POST | /api/user/login | -
18:11:52 | 200 |      3.1746ms | 127.0.0.1 | POST | /api/user/login | -
18:11:53 | 200 |      1.8019ms | 127.0.0.1 | POST | /api/user/login | -
18:11:54 | 200 |      2.9283ms | 127.0.0.1 | POST | /api/user/login | -
18:11:54 | 200 |      1.7669ms | 127.0.0.1 | POST | /api/user/login | -
18:11:54 | 200 |      1.6827ms | 127.0.0.1 | POST | /api/user/login | -
18:11:54 | 200 |      1.6896ms | 127.0.0.1 | POST | /api/user/login | -
18:11:54 | 200 |      2.6173ms | 127.0.0.1 | POST | /api/user/login | -
18:11:55 | 200 |      1.9145ms | 127.0.0.1 | POST | /api/user/login | -
18:11:55 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:55 | 200 |      1.2975ms | 127.0.0.1 | POST | /api/user/login | -
18:11:55 | 200 |      1.9496ms | 127.0.0.1 | POST | /api/user/login | -
18:11:57 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:11:58 | 204 |       1.144ms | 127.0.0.1 | OPTIONS | /api/user/login | -
18:11:58 | 200 |      2.7871ms | 127.0.0.1 | POST | /api/user/login | -
18:11:58 | 200 |      1.2642ms | 127.0.0.1 | POST | /api/user/login | -
18:11:58 | 200 |      1.6503ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |      1.9626ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |      1.5955ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |      2.1514ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |      1.1695ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |      3.5928ms | 127.0.0.1 | POST | /api/user/login | -
18:11:59 | 200 |       2.303ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      1.8305ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      1.5752ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      2.1044ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      1.6572ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      2.1044ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:00 | 200 |      1.8967ms | 127.0.0.1 | POST | /api/user/login | -
18:12:00 | 200 |      1.6678ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |      2.6603ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |      1.8781ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |      2.7501ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |       2.197ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |       1.588ms | 127.0.0.1 | POST | /api/user/login | -
18:12:01 | 200 |      1.2051ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      3.1323ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      3.3819ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      1.3735ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      1.5669ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      1.4619ms | 127.0.0.1 | POST | /api/user/login | -
18:12:02 | 200 |      1.7703ms | 127.0.0.1 | POST | /api/user/login | -
18:12:03 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:05 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:12:05 | 200 |      1.5798ms | 127.0.0.1 | POST | /api/user/login | -
18:12:05 | 200 |      1.6117ms | 127.0.0.1 | POST | /api/user/login | -
18:12:05 | 200 |      4.3237ms | 127.0.0.1 | POST | /api/user/login | -
18:12:05 | 200 |      1.6695ms | 127.0.0.1 | POST | /api/user/login | -
18:12:06 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:09 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:11 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:12:11 | 200 |      1.7195ms | 127.0.0.1 | POST | /api/user/login | -
18:12:11 | 200 |      1.9183ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:12 | 200 |      3.2577ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |      1.7868ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |      1.8335ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |       1.935ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |      1.6956ms | 127.0.0.1 | POST | /api/user/login | -
18:12:12 | 200 |      1.4502ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      1.2977ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      3.7929ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      1.1032ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      2.8274ms | 127.0.0.1 | POST | /api/user/login | -
18:12:13 | 200 |      2.1367ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.4707ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.4014ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.8626ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |      1.6059ms | 127.0.0.1 | POST | /api/user/login | -
18:12:14 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:14 | 200 |      1.0789ms | 127.0.0.1 | POST | /api/user/login | -
18:12:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
